Model,Accuracy,AUC,Precision,Recall,F1,MCC,Cost
Logistic Regression,0.748,0.8070095238095238,0.5555555555555556,0.8,0.6557377049180327,0.4863438010999226,123
Decision Tree,0.636,0.6828190476190477,0.42727272727272725,0.6266666666666667,0.5081081081081081,0.24618298195866548,203
kNN,0.76,0.7606095238095238,0.7027027027027027,0.3466666666666667,0.4642857142857143,0.3662570198190606,256
Naive Bayes,0.704,0.7223619047619048,0.5052631578947369,0.64,0.5647058823529412,0.35066894944211663,182
Random Forest (Ensemble),0.76,0.8006857142857142,0.6056338028169014,0.5733333333333334,0.589041095890411,0.42004362386119154,188
